TRANSACTION_DATE,TRANSACTION_TIME,TRANSACTION_ID,QUANTITY,PRODUCT,PRICE,CATEGORY
"Wednesday, August 16, 2017",10:13:03,165,1,Coffee,2.5,Drink
"Wednesday, August 16, 2017",10:30:14,396,1,Donut,2.25,Pastry
"Wednesday, August 16, 2017",10:31:24,429,1,Bread,2.25,Side Order
"Wednesday, August 16, 2017",10:32:46,462,1,Croissant,3.25,Pastry
"Wednesday, August 16, 2017",10:34:36,495,1,Water,1.25,Drink
"Wednesday, August 16, 2017",10:41:56,594,1,Farm House Salad,6,Food
"Wednesday, August 16, 2017",10:43:08,627,1,Farm House Salad,6,Food
"Wednesday, August 16, 2017",10:49:29,693,2,Coffee,2.5,Drink
"Wednesday, August 16, 2017",10:53:49,759,1,Muffin,1.25,Pastry
"Wednesday, August 16, 2017",11:07:19,990,1,Bread,2.25,Side Order
"Wednesday, August 16, 2017",11:57:45,1386,1,Bread,2.25,Side Order
"Wednesday, August 16, 2017",12:17:02,1584,1,Coffee,2.5,Drink
"Wednesday, August 16, 2017",12:26:58,1683,1,Bread,2.25,Side Order
"Wednesday, August 16, 2017",12:39:27,1848,1,Omelette,5,Food
"Wednesday, August 16, 2017",12:59:29,1914,1,Soup,2.5,Side Order
"Wednesday, August 16, 2017",13:24:00,2046,2,Coffee,2.5,Drink
"Wednesday, August 16, 2017",13:24:00,2046,1,Smoothies,4.75,Drink
"Wednesday, August 16, 2017",13:33:12,2079,1,Coffee,2.5,Drink
"Wednesday, August 16, 2017",13:49:36,2244,1,Eclair,1.75,Pastry
"Wednesday, August 16, 2017",14:32:26,2475,1,Jam,1,Side Order
"Thursday, August 17, 2017",9:10:09,2805,1,Croissant,3.25,Pastry
"Thursday, August 17, 2017",9:11:08,2838,1,Juice,1.25,Drink
"Thursday, August 17, 2017",9:22:48,3003,1,Tea,2.2,Drink
"Thursday, August 17, 2017",9:29:23,3069,1,Bread,2.25,Side Order
"Thursday, August 17, 2017",9:39:09,3102,2,Coffee,2.5,Drink
"Thursday, August 17, 2017",10:04:02,3333,1,Donut,2.25,Pastry
"Thursday, August 17, 2017",10:04:44,3366,1,Farm House Salad,6,Food
"Thursday, August 17, 2017",10:12:48,3432,3,Coffee,2.5,Drink
"Thursday, August 17, 2017",10:12:48,3432,1,Croissant,3.25,Pastry
"Thursday, August 17, 2017",10:21:29,3465,1,Tea,2.2,Drink
"Thursday, August 17, 2017",10:24:21,3498,2,Donut,2.25,Pastry
"Thursday, August 17, 2017",10:27:30,3531,1,Coffee,2.5,Drink
"Thursday, August 17, 2017",10:35:23,3597,1,Muffin,1.25,Pastry
"Thursday, August 17, 2017",10:38:09,3663,1,Coffee,2.5,Drink
"Thursday, August 17, 2017",11:02:37,3729,1,Coffee,2.5,Drink
"Thursday, August 17, 2017",11:13:08,3861,1,Cake,1.75,Dessert
"Thursday, August 17, 2017",11:42:05,4059,1,Milk,2.75,Drink
"Thursday, August 17, 2017",12:03:12,4290,2,Coffee,2.5,Drink
"Thursday, August 17, 2017",12:08:28,4323,1,Bread,2.25,Side Order
"Thursday, August 17, 2017",12:14:20,4356,1,Juice,1.25,Drink
"Thursday, August 17, 2017",12:16:32,4389,1,Strawberry-Frosted Donut,1.25,Pastry
"Thursday, August 17, 2017",12:37:07,4521,1,Farm House Salad,6,Food
"Thursday, August 17, 2017",12:50:57,4587,1,Muffin,1.25,Pastry
"Thursday, August 17, 2017",12:53:33,4620,2,Coffee,2.5,Drink
"Thursday, August 17, 2017",13:21:17,4884,2,Coffee,2.5,Drink
"Thursday, August 17, 2017",14:22:31,5247,1,Cookies,1.25,Pastry
"Thursday, August 17, 2017",14:35:27,5280,1,Water,1.25,Drink
"Thursday, August 17, 2017",14:49:28,5478,1,Coffee,2.5,Drink
"Thursday, August 17, 2017",14:50:42,5511,1,Water,1.25,Drink
"Thursday, August 17, 2017",15:20:16,5643,1,Soup,2.5,Side Order
"Friday, August 18, 2017",8:22:28,5940,1,Tea,2.2,Drink
"Friday, August 18, 2017",10:50:50,6303,1,Tea,2.2,Drink
"Friday, August 18, 2017",10:56:08,6336,1,Bread,2.25,Side Order
"Friday, August 18, 2017",11:08:18,6468,1,Cake,1.75,Dessert
"Friday, August 18, 2017",11:16:30,6600,1,Bread,2.25,Side Order
"Friday, August 18, 2017",12:03:37,6831,1,Muffin,1.25,Pastry
"Friday, August 18, 2017",12:53:18,7293,1,Bread,2.25,Side Order
"Friday, August 18, 2017",13:19:00,7425,1,Soft Drink,2.25,Drink
"Friday, August 18, 2017",13:45:21,7623,1,Cake,1.75,Dessert
"Saturday, August 19, 2017",8:29:04,8646,1,Coffee,2.5,Drink
"Saturday, August 19, 2017",8:29:04,8646,1,Hot chocolate,3.5,Drink
"Saturday, August 19, 2017",9:03:13,8745,1,Tea,2.2,Drink
"Saturday, August 19, 2017",10:37:45,9306,1,Bread,2.25,Side Order
"Saturday, August 19, 2017",10:44:50,9339,1,Coffee,2.5,Drink
"Saturday, August 19, 2017",10:52:20,9405,1,Donut,2.25,Pastry
"Saturday, August 19, 2017",10:53:48,9438,1,Munchkins,1,Snack
"Saturday, August 19, 2017",11:00:57,9537,1,Bread,2.25,Side Order
"Saturday, August 19, 2017",12:56:40,10197,1,Tea,2.2,Drink
"Saturday, August 19, 2017",13:42:15,10461,1,Tea,2.2,Drink
"Saturday, August 19, 2017",13:46:42,10494,1,Strawberry-Frosted Donut,1.25,Pastry
"Saturday, August 19, 2017",13:46:42,10494,1,Bread,2.25,Side Order
"Saturday, August 19, 2017",14:05:20,10659,1,Tea,2.2,Drink
"Saturday, August 19, 2017",14:11:14,10692,1,Tea,2.2,Drink
"Saturday, August 19, 2017",14:11:50,10725,1,Coffee,2.5,Drink
"Saturday, August 19, 2017",15:03:25,10791,1,Tea,2.2,Drink
"Saturday, August 19, 2017",16:25:49,10956,1,Coffee,2.5,Drink
"Saturday, August 19, 2017",18:19:43,11154,1,Protein Bar,1.7,Snack
"Sunday, August 20, 2017",7:50:50,11253,2,Croissant,3.25,Pastry
"Sunday, August 20, 2017",8:07:16,11319,1,Farm House Salad,6,Food
"Sunday, August 20, 2017",9:02:32,11583,1,Cheese Pizza,3.75,Food
"Sunday, August 20, 2017",9:08:32,11649,1,Apple Pie,2.75,Dessert
"Sunday, August 20, 2017",9:19:54,11715,1,Bread,2.25,Side Order
"Sunday, August 20, 2017",9:24:38,11748,1,Bread,2.25,Side Order
"Sunday, August 20, 2017",9:57:55,11979,2,Croissant,3.25,Pastry
"Sunday, August 20, 2017",10:39:12,12243,1,Fudge,2.5,Snack
"Sunday, August 20, 2017",11:53:09,12573,1,Cookies,1.25,Pastry
